start,end,seconds,bytes,bits_per_second,jitter_ms,lost_packets,packets,lost_percent,omitted,sender,host_total,host_user,host_system,remote_total,remote_user,remote_system,flow_type,target_rate_mbps,date,time
0.0,1.000015,1.0000150203704834,6369300,50953634.657529965,0.0465096221265746,64,4789,1.336395907287534,False,False,8.19847011388729,3.05024838377431,5.1482217301129785,0.73917,0.057837,0.681339,udp,60,20250511,050155_536238
1.000015,2.000176,1.000161051750183,8042168,64326984.0266385,0.597429812137277,9,5975,0.1506276150627615,False,False,8.19847011388729,3.05024838377431,5.1482217301129785,0.73917,0.057837,0.681339,udp,60,20250511,050155_536238
2.000176,3.000183,1.0000070333480835,7516448,60131161.076613486,0.587427985438865,0,5576,0.0,False,False,8.19847011388729,3.05024838377431,5.1482217301129785,0.73917,0.057837,0.681339,udp,60,20250511,050155_536238
3.000183,4.000176,0.9999930262565613,7492184,59937889.99146706,0.5909813247729244,0,5558,0.0,False,False,8.19847011388729,3.05024838377431,5.1482217301129785,0.73917,0.057837,0.681339,udp,60,20250511,050155_536238
4.000176,5.000089,0.999912977218628,7528580,60233881.7199201,0.06482407156182918,0,5585,0.0,False,False,8.19847011388729,3.05024838377431,5.1482217301129785,0.73917,0.057837,0.681339,udp,60,20250511,050155_536238
5.000089,6.000182,1.0000929832458496,7476008,59802503.3691268,0.6228111703902358,0,5546,0.0,False,False,8.19847011388729,3.05024838377431,5.1482217301129785,0.73917,0.057837,0.681339,udp,60,20250511,050155_536238
6.000182,7.000179,0.9999970197677612,7478704,59829810.30672952,0.594587935239747,12,5560,0.2158273381294964,False,False,8.19847011388729,3.05024838377431,5.1482217301129785,0.73917,0.057837,0.681339,udp,60,20250511,050155_536238
7.000179,8.000181,1.0000020265579224,7494880,59958918.48977872,0.5883971269391804,0,5560,0.0,False,False,8.19847011388729,3.05024838377431,5.1482217301129785,0.73917,0.057837,0.681339,udp,60,20250511,050155_536238
8.000181,9.000005,0.9998239874839783,7527232,60228456.96224603,0.07327814367536253,0,5584,0.0,False,False,8.19847011388729,3.05024838377431,5.1482217301129785,0.73917,0.057837,0.681339,udp,60,20250511,050155_536238
9.000005,10.000169,1.0001640319824219,7486792,59884513.0246122,0.6282255257750067,0,5554,0.0,False,False,8.19847011388729,3.05024838377431,5.1482217301129785,0.73917,0.057837,0.681339,udp,60,20250511,050155_536238
