start,end,seconds,bytes,bits_per_second,jitter_ms,lost_packets,packets,lost_percent,omitted,sender,host_total,host_user,host_system,remote_total,remote_user,remote_system,flow_type,target_rate_mbps,date,time
0.0,1.000059,1.0000590085983276,7394022,59148685.7189628,0.03658232408869327,0,5289,0.0,False,False,3.604013946342414,1.2544401978464037,2.3495754127770683,0.361188,0.019532,0.341656,udp,60,20250216,172309_306093
1.000059,2.000059,1.0,7494678,59957424.0,0.0365012570879139,0,5361,0.0,False,False,3.604013946342414,1.2544401978464037,2.3495754127770683,0.361188,0.019532,0.341656,udp,60,20250216,172309_306093
2.000059,3.000067,1.0000079870224,7497474,59979312.943883985,0.0364187406957871,0,5363,0.0,False,False,3.604013946342414,1.2544401978464037,2.3495754127770683,0.361188,0.019532,0.341656,udp,60,20250216,172309_306093
3.000067,4.000061,0.9999939799308777,7536618,60293306.969875574,0.05062245215787277,0,5391,0.0,False,False,3.604013946342414,1.2544401978464037,2.3495754127770683,0.361188,0.019532,0.341656,udp,60,20250216,172309_306093
4.000061,5.000063,1.0000020265579224,7596732,60773732.838510245,0.023452556759208487,0,5434,0.0,False,False,3.604013946342414,1.2544401978464037,2.3495754127770683,0.361188,0.019532,0.341656,udp,60,20250216,172309_306093
5.000063,6.000062,0.9999989867210388,7435962,59487756.277691886,0.03491142177950466,3,5322,0.05636978579481398,False,False,3.604013946342414,1.2544401978464037,2.3495754127770683,0.361188,0.019532,0.341656,udp,60,20250216,172309_306093
6.000062,7.000062,1.0,7483494,59867952.0,0.044316233501937,28,5381,0.5203493774391377,False,False,3.604013946342414,1.2544401978464037,2.3495754127770683,0.361188,0.019532,0.341656,udp,60,20250216,172309_306093
7.000062,8.000073,1.0000109672546387,7536618,60292282.75918223,0.02490335263438853,0,5391,0.0,False,False,3.604013946342414,1.2544401978464037,2.3495754127770683,0.361188,0.019532,0.341656,udp,60,20250216,172309_306093
8.000073,9.000009,0.9999359846115112,7465320,59726383.407636866,0.04896889517162348,0,5340,0.0,False,False,3.604013946342414,1.2544401978464037,2.3495754127770683,0.361188,0.019532,0.341656,udp,60,20250216,172309_306093
9.000009,10.000063,1.0000540018081665,7454136,59629867.8793138,0.044064922703907376,0,5332,0.0,False,False,3.604013946342414,1.2544401978464037,2.3495754127770683,0.361188,0.019532,0.341656,udp,60,20250216,172309_306093
