start,end,seconds,bytes,bits_per_second,jitter_ms,lost_packets,packets,lost_percent,omitted,sender,flow_type,target_rate_mbps,date,time
0.0,1.000166,1.0001660585403442,3743396,29942195.842663664,0.48938213880627734,0,2777,0.0,False,False,udp,30,20251010,043420_719074
1.000166,2.000201,1.000035047531128,3724524,29795147.753631644,0.8894918213285286,0,2763,0.0,False,False,udp,30,20251010,043420_719074
2.000201,3.000385,1.0001840591430664,3731264,29844618.82503392,0.9098148682506406,0,2768,0.0,False,False,udp,30,20251010,043420_719074
3.000385,4.000181,0.999795973300934,3767660,30147430.880807936,0.5527972740138414,0,2795,0.0,False,False,udp,30,20251010,043420_719074
4.000181,5.000181,1.0,3777096,30216768.0,0.46592378980007254,0,2802,0.0,False,False,udp,30,20251010,043420_719074
5.000181,6.00018,0.9999989867210388,3723176,29785438.180957858,0.552009332077757,0,2762,0.0,False,False,udp,30,20251010,043420_719074
6.00018,7.00019,1.0000100135803223,3775748,30205681.53298178,0.41062204952109926,0,2801,0.0,False,False,udp,30,20251010,043420_719074
7.00019,8.00018,0.9999899864196777,3750136,30001388.421312734,0.46235669607583435,0,2782,0.0,False,False,udp,30,20251010,043420_719074
8.00018,9.00015,0.999970018863678,3752832,30023556.140329514,0.5469958486062074,0,2784,0.0,False,False,udp,30,20251010,043420_719074
9.00015,10.000147,0.9999970197677612,3747440,29979609.34619828,0.4801742835207043,0,2780,0.0,False,False,udp,30,20251010,043420_719074
10.000147,11.000182,1.000035047531128,3754180,30032387.438966386,0.45278786427295264,0,2785,0.0,False,False,udp,30,20251010,043420_719074
11.000182,12.000183,1.0000009536743164,3719132,29753027.62530172,0.547625021979219,0,2759,0.0,False,False,udp,30,20251010,043420_719074
12.000183,13.0002,1.0000170469284058,3732612,29860386.97212112,0.9263241522753752,0,2769,0.0,False,False,udp,30,20251010,043420_719074
13.0002,14.000185,0.9999849796295166,3767660,30141732.739992768,0.5885155625116438,0,2795,0.0,False,False,udp,30,20251010,043420_719074
14.000185,15.000198,1.000012993812561,3732612,29860507.998156093,0.8901022569289603,0,2769,0.0,False,False,udp,30,20251010,043420_719074
15.000198,16.000169,0.9999709725379944,3748788,29991174.567680266,0.668147590842047,0,2781,0.0,False,False,udp,30,20251010,043420_719074
16.000169,17.000184,1.0000150203704834,3794620,30356504.03406283,0.40540137203713283,0,2815,0.0,False,False,udp,30,20251010,043420_719074
17.000184,18.000161,0.9999769926071167,3750136,30001778.262699686,0.4645505445065697,0,2782,0.0,False,False,udp,30,20251010,043420_719074
18.000161,19.000018,0.999857008457184,3747440,29983807.430884045,0.6122806299844626,0,2780,0.0,False,False,udp,30,20251010,043420_719074
19.000018,20.000181,1.000162959098816,3752832,30017764.33217596,0.47495550372441875,0,2784,0.0,False,False,udp,30,20251010,043420_719074
20.000181,21.000182,1.0000009536743164,3754180,30033411.357906953,0.4786612669740803,0,2785,0.0,False,False,udp,30,20251010,043420_719074
21.000182,22.000184,1.0000020265579224,3719132,29752995.703830842,0.553918693611689,0,2759,0.0,False,False,udp,30,20251010,043420_719074
22.000184,23.000183,0.9999989867210388,3751484,30011902.4104293,0.7136426807590098,0,2783,0.0,False,False,udp,30,20251010,043420_719074
23.000183,24.000067,0.999884009361267,3770356,30166347.013858374,0.4378760674447932,0,2797,0.0,False,False,udp,30,20251010,043420_719074
24.000067,25.000185,1.0001180171966553,3728568,29825024.1342615,0.5644745429645582,0,2766,0.0,False,False,udp,30,20251010,043420_719074
25.000185,26.000191,1.0000059604644775,3750136,30000909.180646535,0.5724027395744835,0,2782,0.0,False,False,udp,30,20251010,043420_719074
26.000191,27.000159,0.9999679923057556,3731264,29851067.46384025,0.660809665741134,0,2768,0.0,False,False,udp,30,20251010,043420_719074
27.000159,28.000287,1.0001280307769775,3744744,29954116.95113307,0.7841555056484284,0,2778,0.0,False,False,udp,30,20251010,043420_719074
28.000287,29.000087,0.9998000264167786,3790576,30330673.333428,0.6847194676352903,0,2812,0.0,False,False,udp,30,20251010,043420_719074
29.000087,30.000181,1.0000940561294556,3763616,30106096.337105516,0.44998075354812833,0,2792,0.0,False,False,udp,30,20251010,043420_719074
30.000181,31.000184,1.0000029802322388,3746092,29968646.686472993,0.489235357926298,0,2779,0.0,False,False,udp,30,20251010,043420_719074
31.000184,32.000066,0.9998819828033447,3752832,30026199.607903935,0.43729367772827843,0,2784,0.0,False,False,udp,30,20251010,043420_719074
32.000066,33.000568,1.0005019903182983,3702956,29608784.67675569,0.947724910156705,0,2747,0.0,False,False,udp,30,20251010,043420_719074
33.000568,34.000371,0.9998030066490173,3758224,30071715.92809047,0.837789154510118,0,2788,0.0,False,False,udp,30,20251010,043420_719074
34.000371,35.000169,0.9997979998588562,3740700,29931646.19675641,0.679753101660803,0,2775,0.0,False,False,udp,30,20251010,043420_719074
35.000169,36.000185,1.0000159740448,3769008,30151582.35727264,0.556720468184677,0,2796,0.0,False,False,udp,30,20251010,043420_719074
36.000185,37.000181,0.9999960064888,3775748,30206104.62841714,0.4142684280641239,0,2801,0.0,False,False,udp,30,20251010,043420_719074
37.000181,38.00018,0.9999989867210388,3754180,30033470.432283722,0.42921539916837265,0,2785,0.0,False,False,udp,30,20251010,043420_719074
38.00018,39.000141,0.999961018562317,3736656,29894413.327210188,0.6988217427360027,0,2772,0.0,False,False,udp,30,20251010,043420_719074
39.000141,40.000153,1.0000120401382446,3763616,30108565.488709167,0.47957627443819545,0,2792,0.0,False,False,udp,30,20251010,043420_719074
40.000153,41.000177,1.0000239610672,3719132,29752343.10210758,0.5391286969718012,0,2759,0.0,False,False,udp,30,20251010,043420_719074
41.000177,42.00017,0.9999930262565613,3739352,29915024.61970666,0.7142735648797707,0,2774,0.0,False,False,udp,30,20251010,043420_719074
42.00017,43.000168,0.9999979734420776,3742048,29936444.667939108,0.70520179977108,0,2776,0.0,False,False,udp,30,20251010,043420_719074
43.000168,44.000169,1.0000009536743164,3750136,30001059.388760194,0.708557402658564,0,2782,0.0,False,False,udp,30,20251010,043420_719074
44.000169,45.000167,0.9999979734420776,3750136,30001148.79906578,0.6801328337646092,0,2782,0.0,False,False,udp,30,20251010,043420_719074
45.000167,46.000168,1.0000009536743164,3750136,30001059.388760194,0.6742992090308533,0,2782,0.0,False,False,udp,30,20251010,043420_719074
46.000168,47.000139,0.9999709725379944,3750136,30001958.880721506,0.678798125756654,0,2782,0.0,False,False,udp,30,20251010,043420_719074
47.000139,48.00019,1.0000510215759277,3785184,30279927.070401892,0.6379363032910208,0,2808,0.0,False,False,udp,30,20251010,043420_719074
