start,end,seconds,bytes,bits_per_second,jitter_ms,lost_packets,packets,lost_percent,omitted,sender,host_total,host_user,host_system,remote_total,remote_user,remote_system,flow_type,target_rate_mbps,date,time
0.0,1.000118,1.0001180171966553,6737304,53892071.80876318,0.15147236619733725,0,4998,0.0,False,False,7.835516830690152,2.817547873893781,5.017998664917057,1.388484,0.117186,1.271307,udp,70,20250619,050219_938154
1.000118,2.000119,1.0000009536743164,7143052,57144361.5028901,0.1557929628299401,14,5313,0.2635046113306983,False,False,7.835516830690152,2.817547873893781,5.017998664917057,1.388484,0.117186,1.271307,udp,70,20250619,050219_938154
2.000119,3.000114,0.999994993209839,7144400,57155486.16552579,2.5983845818068123,6,5306,0.11307953260459856,False,False,7.835516830690152,2.817547873893781,5.017998664917057,1.388484,0.117186,1.271307,udp,70,20250619,050219_938154
3.000114,4.000139,1.0000250339508057,7191580,57531199.76677525,0.08411499199853374,0,5335,0.0,False,False,7.835516830690152,2.817547873893781,5.017998664917057,1.388484,0.117186,1.271307,udp,70,20250619,050219_938154
4.000139,5.000124,0.9999849796295166,7180796,57447230.87869104,0.14959598327828708,0,5327,0.0,False,False,7.835516830690152,2.817547873893781,5.017998664917057,1.388484,0.117186,1.271307,udp,70,20250619,050219_938154
5.000124,6.000128,1.0000040531158447,7152488,57219672.08204045,0.43730255911514165,0,5306,0.0,False,False,7.835516830690152,2.817547873893781,5.017998664917057,1.388484,0.117186,1.271307,udp,70,20250619,050219_938154
6.000128,7.0001,0.9999719858169556,7136312,57092095.3884106,0.5944408186658057,0,5294,0.0,False,False,7.835516830690152,2.817547873893781,5.017998664917057,1.388484,0.117186,1.271307,udp,70,20250619,050219_938154
7.0001,8.000122,1.000022053718567,7184840,57477452.40844064,0.08566811098276875,0,5330,0.0,False,False,7.835516830690152,2.817547873893781,5.017998664917057,1.388484,0.117186,1.271307,udp,70,20250619,050219_938154
8.000122,9.000124,1.0000020265579224,7168664,57349195.77853295,0.1496286903605512,0,5318,0.0,False,False,7.835516830690152,2.817547873893781,5.017998664917057,1.388484,0.117186,1.271307,udp,70,20250619,050219_938154
9.000124,10.000148,1.0000239610672,7183492,57466559.03991711,0.4310945090840374,0,5329,0.0,False,False,7.835516830690152,2.817547873893781,5.017998664917057,1.388484,0.117186,1.271307,udp,70,20250619,050219_938154
