start,end,seconds,bytes,bits_per_second,jitter_ms,lost_packets,packets,lost_percent,omitted,sender,host_total,host_user,host_system,remote_total,remote_user,remote_system,flow_type,target_rate_mbps,date,time
0.0,1.000276,1.00027596950531,2503818,20025017.705769915,0.02810538438657935,0,1791,0.0,False,False,2.7684707901653116,1.5327224639623744,1.2357285200046069,0.206645,0.017769,0.18888,udp,20,20240427,040120_695974
1.000276,2.000267,0.999990999698639,2452092,19616912.5581248,0.3366434517777694,34,1788,1.9015659955257271,False,False,2.7684707901653116,1.5327224639623744,1.2357285200046069,0.206645,0.017769,0.18888,udp,20,20240427,040120_695974
2.000267,3.000292,1.0000250339508057,2424132,19392570.527343422,0.05178544645344059,54,1788,3.0201342281879193,False,False,2.7684707901653116,1.5327224639623744,1.2357285200046069,0.206645,0.017769,0.18888,udp,20,20240427,040120_695974
3.000292,4.000288,0.9999960064888,2499624,19997071.858530432,0.0104856516705305,0,1788,0.0,False,False,2.7684707901653116,1.5327224639623744,1.2357285200046069,0.206645,0.017769,0.18888,udp,20,20240427,040120_695974
4.000288,5.000283,0.999994993209839,2499624,19997092.121244084,0.011047011948055125,0,1788,0.0,False,False,2.7684707901653116,1.5327224639623744,1.2357285200046069,0.206645,0.017769,0.18888,udp,20,20240427,040120_695974
5.000283,6.000269,0.9999859929084778,2498226,19986087.946963046,0.15001944325566433,2,1789,0.11179429849077697,False,False,2.7684707901653116,1.5327224639623744,1.2357285200046069,0.206645,0.017769,0.18888,udp,20,20240427,040120_695974
6.000269,7.000296,1.0000269412994385,2489838,19918167.378688384,0.13006348302917073,7,1788,0.39149888143176736,False,False,2.7684707901653116,1.5327224639623744,1.2357285200046069,0.206645,0.017769,0.18888,udp,20,20240427,040120_695974
7.000296,8.000173,0.9998769760131836,2337456,18701948.788301174,0.6136712315884003,0,1672,0.0,False,False,2.7684707901653116,1.5327224639623744,1.2357285200046069,0.206645,0.017769,0.18888,udp,20,20240427,040120_695974
8.000173,9.000095,0.999921977519989,2652006,21217703.45784392,0.06001144015838203,8,1905,0.4199475065616798,False,False,2.7684707901653116,1.5327224639623744,1.2357285200046069,0.206645,0.017769,0.18888,udp,20,20240427,040120_695974
9.000095,10.000306,1.0002110004425049,2489838,19914502.031259138,0.0900337041063629,7,1788,0.39149888143176736,False,False,2.7684707901653116,1.5327224639623744,1.2357285200046069,0.206645,0.017769,0.18888,udp,20,20240427,040120_695974
