start,end,seconds,bytes,bits_per_second,jitter_ms,lost_packets,packets,lost_percent,omitted,sender,host_total,host_user,host_system,remote_total,remote_user,remote_system,flow_type,target_rate_mbps,date,time
0.0,1.00015,1.0001499652862549,3673944,29387144.9483956,0.350512705326693,0,2628,0.0,False,False,3.787551524997311,1.3603431177102192,2.4271786970392553,0.281084,0.013414,0.267678,udp,30,20240502,100150_117630
1.00015,2.000131,0.9999809861183167,3686526,29492768.772015944,0.12445205252485946,97,2734,3.547915142648135,False,False,3.787551524997311,1.3603431177102192,2.4271786970392553,0.281084,0.013414,0.267678,udp,30,20240502,100150_117630
2.000131,3.000115,0.9999840259552002,3760620,30085440.586175747,0.015541054717645945,0,2690,0.0,False,False,3.787551524997311,1.3603431177102192,2.4271786970392553,0.281084,0.013414,0.267678,udp,30,20240502,100150_117630
3.000115,4.000081,0.999966025352478,3717282,29739266.38109286,0.0670130939814081,15,2674,0.5609573672400897,False,False,3.787551524997311,1.3603431177102192,2.4271786970392553,0.281084,0.013414,0.267678,udp,30,20240502,100150_117630
4.000081,5.000115,1.000033974647522,3760620,30083937.908813477,0.020612113113852484,0,2690,0.0,False,False,3.787551524997311,1.3603431177102192,2.4271786970392553,0.281084,0.013414,0.267678,udp,30,20240502,100150_117630
5.000115,6.000113,0.9999979734420776,3750834,30006732.8103821,0.012725015005625397,0,2683,0.0,False,False,3.787551524997311,1.3603431177102192,2.4271786970392553,0.281084,0.013414,0.267678,udp,30,20240502,100150_117630
6.000113,7.000114,1.0000009536743164,3585870,28686932.642009124,0.0213462741426992,0,2565,0.0,False,False,3.787551524997311,1.3603431177102192,2.4271786970392553,0.281084,0.013414,0.267678,udp,30,20240502,100150_117630
7.000114,8.000006,0.999891996383667,3854286,30837618.574325126,0.18716741695785824,3,2760,0.10869565217391304,False,False,3.787551524997311,1.3603431177102192,2.4271786970392553,0.281084,0.013414,0.267678,udp,30,20240502,100150_117630
8.000006,9.000114,1.000108003616333,3587268,28695044.83138737,0.017727213292164368,3,2569,0.11677695601401324,False,False,3.787551524997311,1.3603431177102192,2.4271786970392553,0.281084,0.013414,0.267678,udp,30,20240502,100150_117630
9.000114,10.000133,1.0000189542770386,3838908,30710681.9012272,0.03106079386336657,89,2835,3.1393298059964727,False,False,3.787551524997311,1.3603431177102192,2.4271786970392553,0.281084,0.013414,0.267678,udp,30,20240502,100150_117630
