start,end,seconds,bytes,bits_per_second,jitter_ms,lost_packets,packets,lost_percent,omitted,sender,host_total,host_user,host_system,remote_total,remote_user,remote_system,flow_type,target_rate_mbps,date,time
0.0,1.000275,1.0002750158309937,2496828,19969132.172521353,0.34261350661221235,5,1791,0.27917364600781686,False,False,2.7445966169226828,0.881972967421484,1.8626236495011987,0.202004,0.00425,0.197758,udp,20,20240308,100120_148810
1.000275,2.00029,1.0000150203704834,2499624,19996691.64228309,0.21067522132758557,0,1788,0.0,False,False,2.7445966169226828,0.881972967421484,1.8626236495011987,0.202004,0.00425,0.197758,udp,20,20240308,100120_148810
2.00029,3.000028,0.9997379779815674,2338854,18715735.934906118,0.628031225193678,3,1676,0.17899761336515513,False,False,2.7445966169226828,0.881972967421484,1.8626236495011987,0.202004,0.00425,0.197758,udp,20,20240308,100120_148810
3.000028,4.000242,1.0002139806747437,2657598,21256235.576368857,0.01862138022589683,0,1901,0.0,False,False,2.7445966169226828,0.881972967421484,1.8626236495011987,0.202004,0.00425,0.197758,udp,20,20240308,100120_148810
4.000242,5.000276,1.000033974647522,2499624,19996312.632326577,0.060737634220443364,0,1788,0.0,False,False,2.7445966169226828,0.881972967421484,1.8626236495011987,0.202004,0.00425,0.197758,udp,20,20240308,100120_148810
5.000276,6.000279,1.0000029802322388,2499624,19996932.40449737,0.251630185026496,0,1788,0.0,False,False,2.7445966169226828,0.881972967421484,1.8626236495011987,0.202004,0.00425,0.197758,udp,20,20240308,100120_148810
6.000279,7.000272,0.9999930262565613,2498226,19985947.376869384,0.10951158801673726,1,1788,0.05592841163310962,False,False,2.7445966169226828,0.881972967421484,1.8626236495011987,0.202004,0.00425,0.197758,udp,20,20240308,100120_148810
7.000272,8.00028,1.0000079870224,2492634,19940912.73148334,0.014133528791471249,0,1783,0.0,False,False,2.7445966169226828,0.881972967421484,1.8626236495011987,0.202004,0.00425,0.197758,udp,20,20240308,100120_148810
8.00028,9.000026,0.999746024608612,2359824,18883387.915836655,0.3838449063275677,0,1688,0.0,False,False,2.7445966169226828,0.881972967421484,1.8626236495011987,0.202004,0.00425,0.197758,udp,20,20240308,100120_148810
9.000026,10.000291,1.0002650022506714,2647812,21176884.078057107,0.021418446255454,0,1894,0.0,False,False,2.7445966169226828,0.881972967421484,1.8626236495011987,0.202004,0.00425,0.197758,udp,20,20240308,100120_148810
