start,end,seconds,bytes,bits_per_second,jitter_ms,lost_packets,packets,lost_percent,omitted,sender,host_total,host_user,host_system,remote_total,remote_user,remote_system,flow_type,target_rate_mbps,date,time
0.0,1.000082,1.000082015991211,7182144,57452439.981187455,0.11084674810642597,248,5576,4.4476327116212335,False,False,9.065186774246074,3.018022388470175,6.0471643857759,0.884309,0.08289,0.801413,udp,70,20250511,050210_906294
1.000082,2.000173,1.0000909566879272,8988464,71901172.107527,0.10911065229081691,362,7030,5.149359886201991,False,False,9.065186774246074,3.018022388470175,6.0471643857759,0.884309,0.08289,0.801413,udp,70,20250511,050210_906294
2.000173,3.000206,1.0000330209732056,8819964,70557382.12657535,0.029370288510247047,0,6543,0.0,False,False,9.065186774246074,3.018022388470175,6.0471643857759,0.884309,0.08289,0.801413,udp,70,20250511,050210_906294
3.000206,4.000199,0.9999930262565613,8656856,69255330.96890993,0.224196109312031,27,6449,0.4186695611722748,False,False,9.065186774246074,3.018022388470175,6.0471643857759,0.884309,0.08289,0.801413,udp,70,20250511,050210_906294
4.000199,5.000201,1.0000020265579224,8787612,70300753.531451,0.029084641502639983,0,6519,0.0,False,False,9.065186774246074,3.018022388470175,6.0471643857759,0.884309,0.08289,0.801413,udp,70,20250511,050210_906294
5.000201,6.000201,1.0,8735040,69880320.0,0.029988120367026135,18,6498,0.2770083102493075,False,False,9.065186774246074,3.018022388470175,6.0471643857759,0.884309,0.08289,0.801413,udp,70,20250511,050210_906294
6.000201,7.000203,1.0000020265579224,8708080,69664498.820858,0.029139596606329615,39,6499,0.6000923218956763,False,False,9.065186774246074,3.018022388470175,6.0471643857759,0.884309,0.08289,0.801413,udp,70,20250511,050210_906294
7.000203,8.000084,0.9998810291290283,8654160,69241517.723671,0.479306839227965,22,6442,0.34150884818379384,False,False,9.065186774246074,3.018022388470175,6.0471643857759,0.884309,0.08289,0.801413,udp,70,20250511,050210_906294
8.000084,9.000211,1.0001269578933716,8698644,69580318.2293775,0.0183359805178831,40,6493,0.6160480517480363,False,False,9.065186774246074,3.018022388470175,6.0471643857759,0.884309,0.08289,0.801413,udp,70,20250511,050210_906294
9.000211,10.000218,1.0000070333480835,8621808,68973978.88199782,0.03207136084305853,136,6532,2.0820575627679117,False,False,9.065186774246074,3.018022388470175,6.0471643857759,0.884309,0.08289,0.801413,udp,70,20250511,050210_906294
