start,end,seconds,bytes,bits_per_second,jitter_ms,lost_packets,packets,lost_percent,omitted,sender,host_total,host_user,host_system,remote_total,remote_user,remote_system,flow_type,target_rate_mbps,date,time
0.0,1.000294,1.0002939701080322,1251210,10006738.31805559,0.011386535889058068,0,895,0.0,False,False,1.6462829965605872,0.04993031860737532,1.5963526779532118,0.000138,5e-06,0.000134,udp,10,20240426,220054_122521
1.000294,2.000308,1.0000139474868774,1249812,9998356.54805325,0.01191782302629509,0,894,0.0,False,False,1.6462829965605872,0.04993031860737532,1.5963526779532118,0.000138,5e-06,0.000134,udp,10,20240426,220054_122521
2.000308,3.000324,1.0000159740448,1249812,9998336.28612824,0.012703173101407714,0,894,0.0,False,False,1.6462829965605872,0.04993031860737532,1.5963526779532118,0.000138,5e-06,0.000134,udp,10,20240426,220054_122521
3.000324,4.000296,0.9999719858169556,1251210,10009960.4208635,0.20826210422262534,0,895,0.0,False,False,1.6462829965605872,0.04993031860737532,1.5963526779532118,0.000138,5e-06,0.000134,udp,10,20240426,220054_122521
4.000296,5.000203,0.9999070167541504,1230240,9842835.218767004,0.016074773038314966,14,894,1.5659955257270695,False,False,1.6462829965605872,0.04993031860737532,1.5963526779532118,0.000138,5e-06,0.000134,udp,10,20240426,220054_122521
5.000203,6.000304,1.0001009702682495,1249812,9997486.551101115,0.010952797851371944,0,894,0.0,False,False,1.6462829965605872,0.04993031860737532,1.5963526779532118,0.000138,5e-06,0.000134,udp,10,20240426,220054_122521
6.000304,7.000305,1.0000009536743164,1249812,9998486.464700256,0.013332493575163258,0,894,0.0,False,False,1.6462829965605872,0.04993031860737532,1.5963526779532118,0.000138,5e-06,0.000134,udp,10,20240426,220054_122521
7.000305,8.000297,0.9999920129776,1249812,9998575.85884935,0.011007229563608348,0,894,0.0,False,False,1.6462829965605872,0.04993031860737532,1.5963526779532118,0.000138,5e-06,0.000134,udp,10,20240426,220054_122521
8.000297,9.000275,0.999978005886078,1249812,9998715.91289686,0.04153428709354372,0,894,0.0,False,False,1.6462829965605872,0.04993031860737532,1.5963526779532118,0.000138,5e-06,0.000134,udp,10,20240426,220054_122521
9.000275,10.000141,0.999866008758545,1249812,9999835.890425306,0.013144822965520206,0,894,0.0,False,False,1.6462829965605872,0.04993031860737532,1.5963526779532118,0.000138,5e-06,0.000134,udp,10,20240426,220054_122521
