start,end,seconds,bytes,bits_per_second,jitter_ms,lost_packets,packets,lost_percent,omitted,sender,flow_type,target_rate_mbps,date,time
0.0,1.000252,1.0002520084381104,3754180,30025873.22658527,0.5091668964521342,0,2785,0.0,False,False,udp,30,20251009,043418_782517
1.000252,2.000179,0.99992698431015,3743396,29949354.7727993,0.4856284312045123,0,2777,0.0,False,False,udp,30,20251009,043418_782517
2.000179,3.000201,1.000022053718567,3756876,30054345.18992947,0.3776395226527599,0,2787,0.0,False,False,udp,30,20251009,043418_782517
3.000201,4.000154,0.9999529719352722,3742048,29937791.916416053,0.5343046466296664,0,2776,0.0,False,False,udp,30,20251009,043418_782517
4.000154,5.000218,1.0000640153884888,3735308,29880551.18490764,0.7466302437826415,0,2771,0.0,False,False,udp,30,20251009,043418_782517
5.000218,6.000181,0.9999629855155945,3787880,30304161.6929204,0.457982271080898,0,2810,0.0,False,False,udp,30,20251009,043418_782517
6.000181,7.000214,1.0000330209732056,3712392,29698155.33800833,0.7336565502965743,0,2754,0.0,False,False,udp,30,20251009,043418_782517
7.000214,8.000181,0.9999669790267944,3783836,30271687.600585148,0.40265939231928766,0,2807,0.0,False,False,udp,30,20251009,043418_782517
8.000181,9.000204,1.0000230073928833,3712392,29698452.716030337,0.5503375042829415,0,2754,0.0,False,False,udp,30,20251009,043418_782517
9.000204,10.000285,1.000080943107605,3750136,29998659.815250568,0.550918451611099,0,2782,0.0,False,False,udp,30,20251009,043418_782517
10.000285,11.000162,0.9998769760131836,3783836,30274412.47892168,0.4670629164000869,0,2807,0.0,False,False,udp,30,20251009,043418_782517
11.000162,12.00021,1.000048041343689,3735308,29881028.47524124,0.4680248026341084,0,2771,0.0,False,False,udp,30,20251009,043418_782517
12.00021,13.000202,0.9999920129776,3764964,30119952.56873585,0.44695948581128264,0,2793,0.0,False,False,udp,30,20251009,043418_782517
13.000202,14.000207,1.0000050067901611,3733960,29871530.4395153,0.40704602284933,0,2770,0.0,False,False,udp,30,20251009,043418_782517
14.000207,15.00018,0.9999729990959167,3750136,30001898.07837233,0.585103022982816,0,2782,0.0,False,False,udp,30,20251009,043418_782517
15.00018,16.000201,1.000020980834961,3764964,30119080.07655174,0.4201633803955915,0,2793,0.0,False,False,udp,30,20251009,043418_782517
16.000201,17.000207,1.0000059604644775,3716436,29731310.78757818,0.561178337513145,0,2757,0.0,False,False,udp,30,20251009,043418_782517
17.000207,18.000136,0.9999290108680725,3754180,30035572.199197367,0.7067319697927217,0,2785,0.0,False,False,udp,30,20251009,043418_782517
18.000136,19.000181,1.0000449419021606,3764964,30118358.423682485,0.5157950992834808,0,2793,0.0,False,False,udp,30,20251009,043418_782517
19.000181,20.000214,1.0000330209732056,3750136,30000097.36758866,0.46932581761271314,0,2782,0.0,False,False,udp,30,20251009,043418_782517
20.000214,21.000281,1.0000669956207275,3735308,29880462.13989131,0.7147419559349032,0,2771,0.0,False,False,udp,30,20251009,043418_782517
21.000281,22.000204,0.9999229907989502,3779792,30240664.80943619,0.385483403345918,0,2804,0.0,False,False,udp,30,20251009,043418_782517
22.000204,23.000201,0.9999970197677612,3750136,30001177.41047612,0.37971430676959966,0,2782,0.0,False,False,udp,30,20251009,043418_782517
23.000201,24.0001,0.9998990297317505,3733960,29874696.45611505,0.563822644239577,0,2770,0.0,False,False,udp,30,20251009,043418_782517
24.0001,25.000209,1.0001089572906494,3735308,29879208.44240137,0.752703666270138,0,2771,0.0,False,False,udp,30,20251009,043418_782517
25.000209,26.000208,0.9999989867210388,3764964,30119742.51970141,0.4561860061758231,0,2793,0.0,False,False,udp,30,20251009,043418_782517
26.000208,27.000205,0.9999970197677612,3731264,29850200.960531235,0.5625610998549765,0,2768,0.0,False,False,udp,30,20251009,043418_782517
27.000205,28.000236,1.0000309944152832,3777096,30215831.477971043,0.4861839584907817,0,2802,0.0,False,False,udp,30,20251009,043418_782517
28.000236,29.000203,0.9999669790267944,3742048,29937372.561177187,0.387706073476704,0,2776,0.0,False,False,udp,30,20251009,043418_782517
29.000203,30.000443,1.0002399682998657,3731264,29842950.637872454,0.5090194553549385,0,2768,0.0,False,False,udp,30,20251009,043418_782517
