start,end,seconds,bytes,bits_per_second,jitter_ms,lost_packets,packets,lost_percent,omitted,sender,host_total,host_user,host_system,remote_total,remote_user,remote_system,flow_type,target_rate_mbps,date,time
0.0,1.000246,1.0002460479736328,1251210,10007217.7443523,0.018911000817764614,0,895,0,False,False,1.474608734294913,0.38357012079639236,1.0910782559159866,6.2e-05,4e-06,5.7e-05,udp,10,20240813,040053_522493
1.000246,2.000265,1.0000189542770386,1249812,9998306.489328885,0.01426194242508477,0,894,0,False,False,1.474608734294913,0.38357012079639236,1.0910782559159866,6.2e-05,4e-06,5.7e-05,udp,10,20240813,040053_522493
2.000265,3.000277,1.0000120401382446,1249812,9998375.618175335,0.0112671247913225,0,894,0,False,False,1.474608734294913,0.38357012079639236,1.0910782559159866,6.2e-05,4e-06,5.7e-05,udp,10,20240813,040053_522493
3.000277,4.000241,0.9999639987945557,1251210,10010040.373519992,0.3025044680498957,0,895,0,False,False,1.474608734294913,0.38357012079639236,1.0910782559159866,6.2e-05,4e-06,5.7e-05,udp,10,20240813,040053_522493
4.000241,5.000196,0.9999549984931946,1249812,9998945.96763501,0.1509172283779468,0,894,0,False,False,1.474608734294913,0.38357012079639236,1.0910782559159866,6.2e-05,4e-06,5.7e-05,udp,10,20240813,040053_522493
5.000196,6.000201,1.0000050067901611,1249812,9998445.93987924,0.012055872969809608,0,894,0,False,False,1.474608734294913,0.38357012079639236,1.0910782559159866,6.2e-05,4e-06,5.7e-05,udp,10,20240813,040053_522493
6.000201,7.000233,1.0000319480895996,1249812,9998176.577358874,0.009515461058189486,0,894,0,False,False,1.474608734294913,0.38357012079639236,1.0910782559159866,6.2e-05,4e-06,5.7e-05,udp,10,20240813,040053_522493
7.000233,8.00024,1.0000070333480835,1249812,9998425.67759192,0.015951492506442448,0,894,0,False,False,1.474608734294913,0.38357012079639236,1.0910782559159866,6.2e-05,4e-06,5.7e-05,udp,10,20240813,040053_522493
8.00024,9.000305,1.0000649690628052,1249812,9997846.44928612,0.01101697960940103,0,894,0,False,False,1.474608734294913,0.38357012079639236,1.0910782559159866,6.2e-05,4e-06,5.7e-05,udp,10,20240813,040053_522493
9.000305,10.000281,0.9999759793281555,1249812,9998736.17636055,0.1017872570223308,0,894,0,False,False,1.474608734294913,0.38357012079639236,1.0910782559159866,6.2e-05,4e-06,5.7e-05,udp,10,20240813,040053_522493
