start,end,seconds,bytes,bits_per_second,jitter_ms,lost_packets,packets,lost_percent,omitted,sender,host_total,host_user,host_system,remote_total,remote_user,remote_system,flow_type,target_rate_mbps,date,time
0.0,1.00021,1.0002100467681885,3748038,29978007.21646745,0.013746244205982978,0,2681,0.0,False,False,3.684905337356639,1.2448898687977934,2.439995642156839,0.199016,0.008569,0.190442,udp,30,20241110,050212_984245
1.00021,2.000204,0.9999939799308777,3727068,29816723.498736463,0.1887401727019819,2,2668,0.0749625187406297,False,False,3.684905337356639,1.2448898687977934,2.439995642156839,0.199016,0.008569,0.190442,udp,30,20241110,050212_984245
2.000204,3.000013,0.9998090267181396,3757824,30068334.248471506,0.10057982174220617,0,2688,0.0,False,False,3.684905337356639,1.2448898687977934,2.439995642156839,0.199016,0.008569,0.190442,udp,30,20241110,050212_984245
3.000013,4.000198,1.0001850128173828,3770406,30157668.444795333,0.148674225163,0,2697,0.0,False,False,3.684905337356639,1.2448898687977934,2.439995642156839,0.199016,0.008569,0.190442,udp,30,20241110,050212_984245
4.000198,5.000174,0.9999759793281555,3749436,29996208.529081658,0.0635950365736202,0,2682,0.0,False,False,3.684905337356639,1.2448898687977934,2.439995642156839,0.199016,0.008569,0.190442,udp,30,20241110,050212_984245
5.000174,6.000186,1.0000120401382446,3749436,29995126.854526006,0.11395420820032337,0,2682,0.0,False,False,3.684905337356639,1.2448898687977934,2.439995642156839,0.199016,0.008569,0.190442,udp,30,20241110,050212_984245
6.000186,7.0002,1.0000139474868774,3752232,30017437.332186714,0.08626799952830652,0,2684,0.0,False,False,3.684905337356639,1.2448898687977934,2.439995642156839,0.199016,0.008569,0.190442,udp,30,20241110,050212_984245
7.0002,8.0002,1.0,3748038,29984304.0,0.08068447228825207,0,2681,0.0,False,False,3.684905337356639,1.2448898687977934,2.439995642156839,0.199016,0.008569,0.190442,udp,30,20241110,050212_984245
8.0002,9.000198,0.9999979734420776,3750834,30006732.8103821,0.012781363785716926,0,2683,0.0,False,False,3.684905337356639,1.2448898687977934,2.439995642156839,0.199016,0.008569,0.190442,udp,30,20241110,050212_984245
9.000198,10.000029,0.9998310208320618,3748038,29989371.57905642,0.0676657017489417,0,2681,0.0,False,False,3.684905337356639,1.2448898687977934,2.439995642156839,0.199016,0.008569,0.190442,udp,30,20241110,050212_984245
