start,end,seconds,bytes,bits_per_second,jitter_ms,lost_packets,packets,lost_percent,omitted,sender,host_total,host_user,host_system,remote_total,remote_user,remote_system,flow_type,target_rate_mbps,date,time
0.0,1.000152,1.0001519918441772,2435316,19479567.26464767,0.4859729518699127,0,1742,0.0,False,False,2.847296336749185,1.6728960040156404,1.1744003327335446,0.254243,0.011394,0.242848,udp,20,20231215,100114_105382
1.000152,2.000179,1.0000269412994385,2433918,19470819.4308234,0.025726224803439248,92,1833,5.019094380796508,False,False,2.847296336749185,1.6728960040156404,1.1744003327335446,0.254243,0.011394,0.242848,udp,20,20231215,100114_105382
2.000179,3.000179,1.0,2482848,19862784.0,0.03303967859866225,0,1776,0.0,False,False,2.847296336749185,1.6728960040156404,1.1744003327335446,0.254243,0.011394,0.242848,udp,20,20231215,100114_105382
3.000179,4.00019,1.0000109672546387,2456286,19650072.492651306,0.38390384965212465,0,1757,0.0,False,False,2.847296336749185,1.6728960040156404,1.1744003327335446,0.254243,0.011394,0.242848,udp,20,20231215,100114_105382
4.00019,5.000179,0.9999889731407166,2519196,20153790.23300893,0.04027400235955434,0,1802,0.0,False,False,2.847296336749185,1.6728960040156404,1.1744003327335446,0.254243,0.011394,0.242848,udp,20,20231215,100114_105382
5.000179,6.000179,1.0,2499624,19996992.0,0.04041708618751122,0,1788,0.0,False,False,2.847296336749185,1.6728960040156404,1.1744003327335446,0.254243,0.011394,0.242848,udp,20,20231215,100114_105382
6.000179,7.000178,0.9999989867210388,2481450,19851620.115229007,0.36643643096801565,0,1775,0.0,False,False,2.847296336749185,1.6728960040156404,1.1744003327335446,0.254243,0.011394,0.242848,udp,20,20231215,100114_105382
7.000178,8.000098,0.9999200105667114,2519196,20155180.20144214,0.040211786881555835,0,1802,0.0,False,False,2.847296336749185,1.6728960040156404,1.1744003327335446,0.254243,0.011394,0.242848,udp,20,20231215,100114_105382
8.000098,9.000188,1.0000900030136108,2541564,20330682.177335277,0.025830521564185728,0,1818,0.0,False,False,2.847296336749185,1.6728960040156404,1.1744003327335446,0.254243,0.011394,0.242848,udp,20,20231215,100114_105382
9.000188,10.000196,1.0000079870224,2481450,19851441.4460925,0.03494291503665669,0,1775,0.0,False,False,2.847296336749185,1.6728960040156404,1.1744003327335446,0.254243,0.011394,0.242848,udp,20,20231215,100114_105382
